Company,Company Score,Job Title,Location,Date,Salary,Cleaned_Salary,Experience_Level,Salary_Scaled,Salary_Bonus
USN Technical Associates,3.9,DevSecOps Software Engineer,"Fall River, MA",5d,$113K - $161K (Glassdoor est.),137000.0,Senior,0.28015326558102954,13700.0
SNC,2.8,Video Software Engineer,"Lexington, MA",11d,$160K - $385K (Employer est.),269179.9501337884,Senior,3.2357102765357024,26917.99501337884
Decision Six,4.1,Contract Software Engineer,"Los Angeles, CA",5d,$62K - $102K (Glassdoor est.),82000.0,Mid Level,-0.9496522793444548,4100.0
Laiba Technologies,4.4,Software Engineer II,"Southern Pines, NC",1d,$73K - $110K (Glassdoor est.),91500.0,Mid Level,-0.7372313215845985,4575.0
Teamups,4.4,DevOps Engineer,"Newtown Square, PA",5d,$200K - $370K (Employer est.),269179.9501337884,Senior,3.2357102765357024,26917.99501337884
Delta Dental Ins.,4.0,DO178C Software Engineer,"Everett, WA",30d+,$93K - $147K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
Valkyrie Enterprises,4.1,Senior Software Engineer,"Seattle, WA",30d+,$69K - $107K (Glassdoor est.),88000.0,Mid Level,-0.8154916744434929,4400.0
UiPath,3.7,Expert Software Engineer,"Alpharetta, GA",1d,$50K - $60K (Employer est.),55000.0,Junior,-1.5533750013987835,2750.0
Atlas Copco Tools & Assembly Systems LLC,3.7,Software Engineer (Job ID:3425),"Huntsville, AL",27d,$70K - $108K (Glassdoor est.),89000.0,Mid Level,-0.7931315736266659,4450.0
ANB Sourcing LLC,3.8,Senior Software Engineer,"Bellevue, WA",9d,$102K - $134K (Glassdoor est.),118000.0,Mid Level,-0.14468864993868322,5900.0
McIntire Solutions,4.5,Software Engineer,"Auburn Hills, MI",13d,$103K - $133K (Glassdoor est.),118000.0,Mid Level,-0.14468864993868322,5900.0
Pennymac,4.6,Azure DevOps Engineer || Full time job.,Remote,2d,$50.00 Per Hour (Employer est.),50.0,Junior,-2.782062541283427,2.5
Literati,3.7,Software Systems Engineer/DevOps Engineer,"Chantilly, VA",18d,$84K - $110K (Glassdoor est.),97000.0,Mid Level,-0.61425076709205,4850.0
"Rochester Software Associates, Inc.",4.1,Clojure Software Engineer,"Agoura Hills, CA",4d,$66K - $94K (Glassdoor est.),80000.0,Mid Level,-0.9943724809781088,4000.0
Plaid,3.7,WordPress Full Stack Engineer (React),Texas,1d,$102K - $149K (Glassdoor est.),125500.0,Senior,0.02301210618751919,12550.0
TigerGraph,3.9,C# Software Developer,United States,10d,$187K - $197K (Employer est.),192000.0,Senior,1.509958810506514,19200.0
"Garmin International, Inc.",3.7,Experienced Software Engineer - Scaled Access,"New York, NY",30d+,$70K - $96K (Glassdoor est.),83000.0,Mid Level,-0.9272921785276278,4150.0
Resilio Inc.,4.4,Software Engineer,"Redwood City, CA",5d,$100K - $110K (Employer est.),105000.0,Mid Level,-0.4353699605574341,5250.0
Candid,3.7,Software Certification Engineer 1 - Software Quality,"Salem, OR",25d,$83K - $116K (Glassdoor est.),99500.0,Mid Level,-0.5583505150499826,4975.0
Amex,4.3,Technical Support Engineer (Endpoint Software),Virginia,9d,$100K - $250K (Employer est.),175000.0,Senior,1.1298370966204552,17500.0
Radiance Technologies,4.4,Ecosystems Software Engineer,United States,17d,$100K - $115K (Employer est.),107500.0,Mid Level,-0.3794697085153666,5375.0
Fabletics,3.6,Engineer,"Phoenix, AZ",2d,$64K - $101K (Glassdoor est.),82500.0,Mid Level,-0.9384722289360413,4125.0
Delta Dental Ins.,3.7,R&D Software Engineer,"Stennis Space Center, MS",30d+,$66K - $68K (Employer est.),67000.0,Junior,-1.2850537915968596,3350.0
Fractal Analytics,4.1,Sr. Software Engineer,California,24d,$79K - $117K (Glassdoor est.),98000.0,Mid Level,-0.591890666275223,4900.0
Microchip Technology,2.4,Expert Software Engineer,"Oakland, CA",1d,$140K (Employer est.),140000.0,Senior,0.3472335680315105,14000.0
York Space Systems,4.2,Software Development Engineer,California,30d+,$118K - $169K (Glassdoor est.),143500.0,Senior,0.425493920890405,14350.0
Proteus Co.,3.5,Engineer II - Software,Unknown,2d,$56K - $89K (Glassdoor est.),72500.0,Mid Level,-1.1620732371043112,3625.0
Software Productivity Strategists,3.3,Sr. Full Stack Software Engineer,"Greenwood Village, CO",3d,$130K - $270K (Employer est.),200000.0,Senior,1.68883961704113,20000.0
NeuroPace,4.2,Software Engineer,"Lincoln, NE",30d+,$110K - $157K (Employer est.),133500.0,Senior,0.2018929127221351,13350.0
OceanFrogs,2.5,Software Engineer,"Rockville, MD",30d+,$93K - $130K (Glassdoor est.),111500.0,Mid Level,-0.29002930524805864,5575.0
"iconectiv, LLC.",3.5,Full Stack Software Engineer,"Mountain View, CA",7d,$120K - $140K (Employer est.),130000.0,Senior,0.12363255986324063,13000.0
The Aerospace Corporation,3.9,Full Stack Software Developer,"Duluth, GA",30d+,$94K - $160K (Employer est.),127000.0,Senior,0.056552257412759675,12700.0
Fetch Package,4.8,Software Engineer (Oracle Database Expertise),"Bridgewater, NJ",4d,$101K - $144K (Glassdoor est.),122500.0,Senior,-0.04406819626296178,12250.0
Zenith Services,4.7,Data Engineer / Software Engineer,"Chantilly, VA",30d+,$108K - $156K (Glassdoor est.),132000.0,Senior,0.16835276149689463,13200.0
Matthews International Corporation,3.9,Lead Front-End Software Engineer,"Austin, TX",4d,$74K - $100K (Glassdoor est.),87000.0,Mid Level,-0.8378517752603198,4350.0
Oracle,2.9,React Native Engineer,"Bentonville, AR",30d+,$73K - $100K (Glassdoor est.),86500.0,Mid Level,-0.8490318256687334,4325.0
NVIDIA,4.0,Software Engineer,"Apopka, FL",3d,$112K - $196K (Employer est.),154000.0,Senior,0.6602749794670884,15400.0
PingWind,4.0,Software Developer,United States,1d,$98K - $137K (Glassdoor est.),117500.0,Mid Level,-0.1558687003470967,5875.0
Versaterm,3.5,Senior Full-Stack Web Applications Software Engineer,"Santa Clara, CA",1d,$80K - $94K (Employer est.),87000.0,Mid Level,-0.8378517752603198,4350.0
Apollo Technology Solutions LLC,4.3,Software Developer*,"Scott Air Force Base, IL",9d,$89K - $130K (Glassdoor est.),109500.0,Mid Level,-0.3347495068817126,5475.0
Navrit Creation,3.6,Software Engineer,"Lexington, SC",16d,$78K - $131K (Glassdoor est.),104500.0,Mid Level,-0.44655001096584757,5225.0
Amazon.com Services LLC,5.0,Sr. Front End Engineer (React),"Charlotte, NC",2d,$65K - $107K (Glassdoor est.),86000.0,Mid Level,-0.8602118760771469,4300.0
Schneider Electric,3.6,Freelance Web Developer,"Colony, AL",1d,$130K - $300K (Employer est.),215000.0,Senior,2.0242411292935345,21500.0
Akira Technologies Inc.,3.7,"Software Dev Engineer, Modeling Software","Boston, MA",10d,$66K - $98K (Employer est.),82000.0,Mid Level,-0.9496522793444548,4100.0
CTC Group,4.2,Systems Application Engineer II - Software,"Secaucus, NJ",1d,$153K - $225K (Employer est.),189000.0,Senior,1.442878508056033,18900.0
Space Coast Intelligent Solutions,3.9,ServiceNow Software Engineer,"Washington, DC",9d,$69K - $103K (Employer est.),86000.0,Mid Level,-0.8602118760771469,4300.0
Credo,3.9,Python Developer,"Fort Meade, MD",6d,$83K - $114K (Glassdoor est.),98500.0,Mid Level,-0.5807106158668095,4925.0
9th networks Inc,4.4,Software Engineer IV,"Melbourne, FL",30d+,$107K - $174K (Employer est.),140500.0,Senior,0.35841361843992403,14050.0
Tuvoli,3.1,System Software Engineer,"San Jose, CA",3d,$78K (Employer est.),78000.0,Mid Level,-1.0390926826117628,3900.0
Walter P Moore,4.1,Go Lang/Platform Engineer,"Jersey City, NJ",3d,$175K - $265K (Employer est.),220000.0,Senior,2.1360416333776695,22000.0
LinQuest Corporation,3.9,Senior Software Engineer,Massachusetts,16d,$53K - $107K (Employer est.),80000.0,Mid Level,-0.9943724809781088,4000.0
CodeSignal,3.8,Front-end Software Developer,"Washington, DC",17d,$60.00 - $80.00 Per Hour (Employer est.),70.0,Junior,-2.78161533926709,3.5
Hewlett Packard,5.0,Software Engineer,"Beavercreek, OH",30d+,$86K - $128K (Glassdoor est.),107000.0,Mid Level,-0.3906497589237801,5350.0
Dupli Envelope & Graphics,4.8,"Software Engineer, Innovation Lab","San Francisco, CA",18d,$165K - $215K (Employer est.),190000.0,Senior,1.46523860887286,19000.0
Coinbase,4.2,Software Quality Engineer,"Fort Collins, CO",10d,$165K - $215K (Employer est.),190000.0,Senior,1.46523860887286,19000.0
LSEG (London Stock Exchange Group),4.0,Software Support Engineer,"Syracuse, NY",3d,$102K - $138K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
Inabia Software & Consulting Inc.,3.8,Software Engineer,Remote,12d,$76K - $175K (Employer est.),125500.0,Senior,0.02301210618751919,12550.0
PMall,4.5,Full Stack Engineer,"Washington, DC",30d+,$96K - $118K (Employer est.),107000.0,Mid Level,-0.3906497589237801,5350.0
Alloy,4.0,Software Developer,"Bellevue, WA",30d+,$86K - $129K (Employer est.),107500.0,Mid Level,-0.3794697085153666,5375.0
QinetiQ US,3.9,Front-End Developer,"Burr Ridge, IL",10d,$160K - $385K (Employer est.),269179.9501337884,Senior,3.2357102765357024,26917.99501337884
Caterpillar,4.0,Solutions Engineer,United States,3d,$184K - $337K (Employer est.),260500.0,Senior,3.041625716459163,26050.0
"Jason Pharmaceuticals, Inc.",4.0,Software Engineer,"McLean, VA",9d,$127K - $184K (Employer est.),155500.0,Senior,0.6938151306923288,15550.0
IntelliBridge LLC,3.6,Software Engineer,"Peoria, IL",2d,$79K - $130K (Glassdoor est.),104500.0,Mid Level,-0.44655001096584757,5225.0
Snyk,3.4,Sr Software Engineer,"Lehi, UT",10d,$120K - $207K (Employer est.),163500.0,Senior,0.8726959372269448,16350.0
OpenAI,4.2,Software Engineer,"Washington, DC",10d,$112K - $152K (Employer est.),132000.0,Senior,0.16835276149689463,13200.0
Vertex Professional Service LLC,2.7,Senior Software Engineer (Typescript/Go),"Boston, MA",2d,$130K - $158K (Glassdoor est.),144000.0,Senior,0.43667397129881846,14400.0
"deciBel Research, Inc.",2.7,"Software Engineer, Backend","San Francisco, CA",5d,$103K - $172K (Employer est.),137500.0,Senior,0.29133331598944306,13750.0
OpenAI,4.4,"Software Engineer II (inSITE) - ""W-TRS""","Orlando, FL",2d,$82K - $209K (Employer est.),145500.0,Senior,0.470214122524059,14550.0
COMSOL Inc.,3.1,Mid-Level Software Engineer,"Huntsville, AL",25d,$116K - $174K (Employer est.),145000.0,Senior,0.45903407211564545,14500.0
Infosys,3.8,"Full Stack Engineer, Leverage Engineering","San Francisco, CA",6d,$130K - $165K (Employer est.),147500.0,Senior,0.5149343241577129,14750.0
Hero Facility Services,3.8,Software Developer – Ray Optics,"Burlington, MA",4d,$150K - $185K (Employer est.),167500.0,Senior,0.9621363404942528,16750.0
QED Systems LLC,3.9,Junior Python Developer,"Charlotte, NC",2d,$98K - $209K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
Kasasa,4.4,Entry Level Developer,"Melbourne, FL",3d,$102K - $204K (Employer est.),153000.0,Senior,0.6379148786502614,15300.0
"Delta Air Lines, Inc.",3.7,SOFTWARE ENGINEER,"Aberdeen Proving Ground, MD",30d+,$125K - $140K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
HAN IT,3.6,Senior Software Engineer (Hybrid),"Austin, TX",11d,$108K - $216K (Employer est.),162000.0,Senior,0.8391557860017043,16200.0
Innovative Solutions and Support,3.9,Software Development Engineer,"Atlanta, GA",3d,$79K - $116K (Glassdoor est.),97500.0,Mid Level,-0.6030707166836365,4875.0
Promega,4.8,Python Developer,"Morris Plains, NJ",3d,$67K - $128K (Employer est.),97500.0,Mid Level,-0.6030707166836365,4875.0
Revenue Management Solutions Llc,3.7,Software Verification Engineer,"Exton, PA",12d,$129K - $162K (Employer est.),145500.0,Senior,0.470214122524059,14550.0
Cityblock Health,3.8,"Software Engineer, Instrumentation","Madison, WI",16d,$90K - $110K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
Astrion,3.7,DevOps Engineer,"Oklahoma City, OK",12d,$117K - $306K (Employer est.),211500.0,Senior,1.9459807764346402,21150.0
Diverse Career Solutions,3.4,Staff Software Engineer,New York State,9d,$100K - $115K (Employer est.),107500.0,Mid Level,-0.3794697085153666,5375.0
Synergy ECP,4.2,Software Developer,"Eglin AFB, FL",17d,$87K - $142K (Glassdoor est.),114500.0,Mid Level,-0.2229490027975777,5725.0
"ICR, Inc.",4.0,Sr. Software Engineer,Remote,3d,$92K - $132K (Glassdoor est.),112000.0,Mid Level,-0.2788492548396452,5600.0
Broadridge,3.8,Software Engineer,"Columbia, MD",30d+,$105K - $160K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
Zurn Elkay Water Solutions,5.0,"Software Systems Engineer - Mason, OH","Mason, OH",30d+,$144K - $196K (Glassdoor est.),170000.0,Senior,1.0180365925363202,17000.0
Florida State College at Jacksonville,4.2,Deployment Engineer (Hybrid),"Newark, NJ",9d,$69K - $91K (Glassdoor est.),80000.0,Mid Level,-0.9943724809781088,4000.0
Q9Software,3.1,IoT Engineer,"Milwaukee, WI",27d,$80K - $110K (Employer est.),95000.0,Mid Level,-0.6589709687257039,4750.0
JPMorgan Chase & Co,3.8,Engineer IV Software,"Jacksonville, FL",27d,$100K - $153K (Glassdoor est.),126500.0,Senior,0.04537220700434618,12650.0
The Bank of New York Mellon Corporation,3.4,Entry Level to Senior Level Software Developers,"Germantown, MD",30d+,$170K - $200K (Employer est.),185000.0,Senior,1.353438104788725,18500.0
Cisco Systems,4.5,Software Engineer,"Jersey City, NJ",4d,$87K - $124K (Glassdoor est.),105500.0,Mid Level,-0.4241899101490206,5275.0
Grand Canyon Education,4.0,2025 BNY Summer Internship Program - Engineering (Developer),"Pittsburgh, PA",6d,$185K - $206K (Employer est.),195500.0,Senior,1.5882191633654084,19550.0
Captivation Software,3.3,Software Engineer,"San Jose, CA",30d+,$80K - $133K (Employer est.),106500.0,Mid Level,-0.4018298093321936,5325.0
DocuSign,4.6,Jr. Developer,"Phoenix, AZ",3d,$90K - $127K (Glassdoor est.),108500.0,Mid Level,-0.3571096076985396,5425.0
"Canon Medical Research USA, Inc.",3.6,Software Engineer 0 - Java/React/Docker/AWS,"Annapolis Junction, MD",30d,$108K - $199K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
Standard Bots,2.5,AI SaaS Engineer,"San Francisco, CA",1d,$62K - $102K (Glassdoor est.),82000.0,Mid Level,-0.9496522793444548,4100.0
American AgCredit,4.1,Software Engineer,"Boston, MA",1d,$85K - $104K (Glassdoor est.),94500.0,Mid Level,-0.6701510191341175,4725.0
KAPSCH,4.0,Software Quality Engineer,"Glen Cove, NY",11d,$73K - $127K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
Prevail,3.9,DevOps Engineer,Remote,2d,$100K - $140K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
DCS Corp,4.8,Software Engineer,"Chantilly, VA",30d+,$160K - $194K (Employer est.),177000.0,Senior,1.174557298254109,17700.0
Consensus Health,3.9,Software Engineer Video,"San Francisco, CA",5d,$107K - $145K (Glassdoor est.),126000.0,Senior,0.034192156595932686,12600.0
Rippling,4.2,Software Engineer,"Dayton, OH",3d,$74K - $131K (Glassdoor est.),102500.0,Mid Level,-0.49127021259950154,5125.0
ACI Worldwide,4.0,Associate Software Engineer,"Lenexa, KS",5d,$240K (Employer est.),240000.0,Senior,2.5832436497142095,24000.0
"Engineering Technology Associates, Inc.",5.0,Full Stack Engineer II (Frontend) - Benefits,"San Francisco, CA",2d,$16.00 - $46.00 Per Hour (Employer est.),31.0,Junior,-2.7824873831989465,1.55
Fusion Innovation,5.0,Software Engineer - Hybrid,"Norcross, GA",3d,$70K - $120K (Employer est.),95000.0,Mid Level,-0.6589709687257039,4750.0
"Clarity Innovations, LLC",4.1,Software Test Engineer,"Dearborn, MI",1d,$160K - $225K (Employer est.),192500.0,Senior,1.5211388609149274,19250.0
RippleMatch Opportunities,3.9,Software Engineer,"Herndon, VA",30d+,$99K - $134K (Glassdoor est.),116500.0,Mid Level,-0.1782288011639237,5825.0
Power3 Solutions and Partnering Companies,3.5,Jr. Java Software Engineer (SWE1) (PP) 228,"Annapolis Junction, MD",30d+,$102K - $143K (Glassdoor est.),122500.0,Senior,-0.04406819626296178,12250.0
Datadog,3.9,"IMC - Software Engineer, application via RippleMatch","Chicago, IL",4d,$150K - $240K (Employer est.),195000.0,Senior,1.577039112956995,19500.0
PACCAR,4.2,Python Engineer,"Annapolis Junction, MD",10d,$160K - $170K (Employer est.),165000.0,Senior,0.9062360884521853,16500.0
Front,4.1,Senior Software Engineer - Frontend - Sheets,United States,11d,$144K - $200K (Employer est.),172000.0,Senior,1.0627567941699743,17200.0
Northrop Grumman,4.1,Vehicle Software and Diagnostics Tool Test Engineer,"Mount Vernon, WA",4d,$110K - $120K (Employer est.),115000.0,Mid Level,-0.21176895238916418,5750.0
Pegasystems,4.1,"Backend Software Engineer, Deliverability","San Francisco, CA",4d,$165K - $211K (Employer est.),188000.0,Senior,1.420518407239206,18800.0
Lawrence Berkeley National Laboratory,3.6,2024 Associate Software Engineer - Linthicum MD,"Linthicum, MD",1d,$92K - $116K (Glassdoor est.),104000.0,Mid Level,-0.4577300613742611,5200.0
Cargill,3.5,"Associate Software Engineer, Services Engineering","Waltham, MA",3d,$65.00 Per Hour (Employer est.),65.0,Junior,-2.7817271397711743,3.25
Zoox,3.9,Optimization Software Engineer,"San Francisco, CA",30d+,$66K - $132K (Employer est.),99000.0,Mid Level,-0.569530565458396,4950.0
GLOBALFOUNDRIES,3.7,"Associate Software Engineer - Technology Development Program, Summer 2025 - Atlanta, GA","Atlanta, GA",1d,$140K - $175K (Employer est.),157500.0,Senior,0.7385353323259829,15750.0
TRU47,4.8,Software Engineer - Perception ML Ops,"Boston, MA",30d+,$169K - $225K (Employer est.),197000.0,Senior,1.6217593145906488,19700.0
Schneider Electric,4.1,"Design Enablement Engineer, Software Engineering AI/Machine Learning (2024 New College Graduate)","Malta, NY",23d,$61K - $95K (Employer est.),78000.0,Mid Level,-1.0390926826117628,3900.0
Gopuff,3.2,Shopify Webmaster,Remote,3d,$90K - $125K (Employer est.),107500.0,Mid Level,-0.3794697085153666,5375.0
Gopuff,3.6,Software Development Test Engineer - Electrical IoT Devices,"Foxborough, MA",1d,$162K - $284K (Employer est.),223000.0,Senior,2.2031219358281504,22300.0
Camelot Integrated Solutions Inc.,3.9,Senior Software Engineer - Delivery Tech,"Miami, FL",17d,$91K - $137K (Employer est.),114000.0,Mid Level,-0.2341290532059912,5700.0
CVS Health,5.0,Senior Software Engineer - Warehouse,"Miami, FL",17d,$160K - $175K (Employer est.),167500.0,Senior,0.9621363404942528,16750.0
BOEING,4.6,Senior Software Engineer I,"Houston, TX",30d+,$177K - $323K (Employer est.),250000.0,Senior,2.8068446578824795,25000.0
Publix,3.4,Software Engineer - Enterprise Identity Services,"Hartford, CT",11d,$133K - $193K (Employer est.),163000.0,Senior,0.8615158868185313,16300.0
Experian,4.9,Software Engineer - Junior Level,"Annapolis Junction, MD",11d,$81K - $99K (Glassdoor est.),90000.0,Mid Level,-0.7707714728098389,4500.0
OpenAI,4.3,Software Engineer – Customer Payments Support,"Lakeland, FL",20d,$85K - $95K (Employer est.),90000.0,Mid Level,-0.7707714728098389,4500.0
ByteDance,3.6,Staff Software Engineer (Remote),Texas,3d,$180K - $339K (Employer est.),259500.0,Senior,3.0192656156423356,25950.0
Alterra Mountain Company,4.2,"Software Engineer, Full Stack","San Francisco, CA",6d,$163K - $200K (Employer est.),181500.0,Senior,1.2751777519298306,18150.0
Experian,3.8,Senior Frontend Software Engineer - Customer Service Plateform - Seattle,"Seattle, WA",30d+,$85K - $150K (Employer est.),117500.0,Mid Level,-0.1558687003470967,5875.0
"Clarity Innovations, LLC",3.4,"Software Engineer, Mobile (React Native)","Denver, CO",13d,$80K - $110K (Employer est.),95000.0,Mid Level,-0.6589709687257039,4750.0
Amazon Advertising LLC,3.4,Senior Software Engineer (Remote),California,3d,$93K - $128K (Glassdoor est.),110500.0,Mid Level,-0.31238940606488563,5525.0
BOEING,4.1,Junior Software Engineer (SWE1) (QC) TTO16-022,"Annapolis Junction, MD",30d+,$112K - $154K (Employer est.),133000.0,Senior,0.19071286231372162,13300.0
Bose,4.1,"Software Quality Assurance Engineer (Level 6), Automotive",United States,11d,$155K - $221K (Employer est.),188000.0,Senior,1.420518407239206,18800.0
Macy’s,4.1,Front End/UI Mid-Level Software Engineer,"Annapolis Junction, MD",16d,$102K - $132K (Employer est.),117000.0,Mid Level,-0.1670487507555102,5850.0
Microsoft,5.0,DSP Software Engineer,"Framingham, MA",30d+,$80K - $111K (Glassdoor est.),95500.0,Mid Level,-0.6477909183172905,4775.0
DraftKings,4.1,Lead Software Engineer - Supply Chain,"Johns Creek, GA",2d,$187K - $280K (Employer est.),233500.0,Senior,2.437902994404834,23350.0
GE Appliances,4.0,Software Engineer,"Redmond, WA",30d+,$105K - $155K (Glassdoor est.),130000.0,Senior,0.12363255986324063,13000.0
Quantum Systems Inc,4.1,"Senior Software Engineer, IOS",Remote,18d,$92K - $120K (Glassdoor est.),106000.0,Mid Level,-0.4130098597406071,5300.0
"Kaseware, Inc.",4.1,Software Engineering Co-op_Summer 2025,"Louisville, KY",30d+,$230K - $280K (Employer est.),255000.0,Senior,2.9186451619666145,25500.0
Microsoft,4.1,Software Engineer,"Moorpark, CA",19d,$94K - $128K (Glassdoor est.),111000.0,Mid Level,-0.30120935565647217,5550.0
CVS Health,4.2,Software Engineer,"Denver, CO",27d,$129K (Employer est.),129000.0,Senior,0.10127245904641365,12900.0
JBT Corporation,4.6,Software Engineer II - Automated Reasoning and Testing,"Redmond, WA",5d,$80K - $180K (Employer est.),130000.0,Senior,0.12363255986324063,13000.0
Fanatics Inc.,3.9,Sr Software Development Engineer,"Buffalo Grove, IL",3d,$93K - $129K (Glassdoor est.),111000.0,Mid Level,-0.30120935565647217,5550.0
Innovative Defense Technologies (IDT),4.1,Senior Software Engineer C++,"Chalfont, PA",30d+,$105K - $190K (Employer est.),147500.0,Senior,0.5149343241577129,14750.0
Microchip Technology,4.0,"Software Engineer II, (Java/AWS)",United States,12d,$139K - $169K (Employer est.),154000.0,Senior,0.6602749794670884,15400.0
"Crunchyroll, LLC",4.2,Frontend Software Engineer,"Mount Laurel, NJ",5d,$54K - $98K (Employer est.),76000.0,Mid Level,-1.0838128842454167,3800.0
Accrete.AI,3.7,Engineer I-Software,"San Jose, CA",23d,$55K - $186K (Employer est.),120500.0,Senior,-0.08878839789661576,12050.0
Roku,3.8,"Software Engineer III, Android","Culver City, CA",30d+,$101K - $139K (Glassdoor est.),120000.0,Senior,-0.09996844830502925,12000.0
Early Warning Services,3.6,Machine Learning Engineer (Early Career),"New York, NY",19d,$88K - $120K (Glassdoor est.),104000.0,Mid Level,-0.4577300613742611,5200.0
Workday,5.0,"Senior Software Engineer, Service Mesh","Boston, MA",5d,$129K - $202K (Employer est.),165500.0,Senior,0.9174161388605988,16550.0
Grainger,4.1,"Software Engineer - Java, Zelle","Scottsdale, AZ",1d,$70K - $115K (Employer est.),92500.0,Mid Level,-0.7148712207677714,4625.0
Costco Wholesale,4.7,Front-End Engineer - Content Platform,"Boulder, CO",30d+,$91K - $134K (Glassdoor est.),112500.0,Mid Level,-0.26766920443123166,5625.0
Mochi Health,3.5,Software Engineer IV (Success Factors - Employee Central Payroll),"Lake Forest, IL",1d,$92K - $124K (Glassdoor est.),108000.0,Mid Level,-0.36828965810695313,5400.0
Jacobs,4.2,Software Engineer - Digital Data Products,"Seattle, WA",10d,$115K - $190K (Employer est.),152500.0,Senior,0.6267348282418479,15250.0
Boeing Intelligence & Analytics,4.2,"Senior Software Engineer, Frontend","San Francisco, CA",7d,$94K - $139K (Glassdoor est.),116500.0,Mid Level,-0.1782288011639237,5825.0
NetApp,4.0,Software Test Engineer,"Kennedy Space Center, FL",30d+,$140K - $216K (Glassdoor est.),178000.0,Senior,1.196917399070936,17800.0
Alphataraxia,3.9,Entry Level Software Engineer,"Annapolis Junction, MD",4d,$90K - $103K (Employer est.),96500.0,Mid Level,-0.6254308175004635,4825.0
DaqScribe Solutions,4.7,Software Engineer - C/C++,"San Jose, CA",10d,$95K - $170K (Employer est.),132500.0,Senior,0.17953281190530812,13250.0
BOEING,4.0,Senior Software Engineer,"Washington, DC",30d+,$343K - $637K (Employer est.),269179.9501337884,Senior,3.2357102765357024,26917.99501337884
Honeywell,4.8,Software Engineer,United States,10d,$172K - $223K (Employer est.),197500.0,Senior,1.6329393649990624,19750.0
Uber,3.9,Entry Level Support Equipment Software Engineer,Unknown,2d,$105.00 - $115.00 Per Hour (Employer est.),110.0,Junior,-2.780720935234417,5.5
State Street,3.4,"Software Engineer II - .Net, C#, Azure","Phoenix, AZ",13d,$93K - $186K (Employer est.),139500.0,Senior,0.33605351762309704,13950.0
"Garmin International, Inc.",3.9,Senior Software Engineer - Courier Pricing,"New York, NY",1d,$83K - $110K (Glassdoor est.),96500.0,Mid Level,-0.6254308175004635,4825.0
Adobe,4.5,"Software Quality Assurance Engineer, Assistance Vice President","Quincy, MA",30d+,$120K (Employer est.),120000.0,Senior,-0.09996844830502925,12000.0
Honeywell,5.0,Embedded Software Engineer,"Salem, OR",11d,$88K - $140K (Employer est.),114000.0,Mid Level,-0.2341290532059912,5700.0
Honeywell,4.3,Software Development Engineer,"Lehi, UT",20d,$95K - $136K (Glassdoor est.),115500.0,Mid Level,-0.2005889019807507,5775.0
Johns Hopkins University,4.8,Software Engineering/Electrical Engineering Co-op - Fall 2024 (US Persons),"Mason, OH",27d,$100K - $130K (Employer est.),115000.0,Mid Level,-0.21176895238916418,5750.0
University of Vermont,4.1,Software Engineer II,"Mason, OH",5d,$159K - $175K (Employer est.),167000.0,Senior,0.9509562900858393,16700.0
Federal Reserve Bank of Dallas,3.5,Software Engineer,"Baltimore, MD",30d+,$104K - $348K (Employer est.),226000.0,Senior,2.2702022382786318,22600.0
"Grammarly, Inc.",4.0,Research Software Engineer,"Burlington, VT",4d,$98K - $209K (Employer est.),153500.0,Senior,0.6490949290586748,15350.0
SCD Information Technology,3.9,Software Engineer,"Dallas, TX",23d,$78K - $104K (Employer est.),91000.0,Mid Level,-0.7484113719930119,4550.0
Clarity Innovations,4.0,"Software Engineer, Data Engineering",United States,4d,$100K (Employer est.),100000.0,Mid Level,-0.547170464641569,5000.0
"Akina, Inc.",4.0,Sr. Software Engineer,"Columbia, MD",1d,$64K - $128K (Employer est.),96000.0,Mid Level,-0.636610867908877,4800.0
Volvo Group,3.9,Software Engineer - Level 1 (RR) RRTN-8319,"Annapolis Junction, MD",30d+,$117K - $216K (Employer est.),166500.0,Senior,0.9397762396774257,16650.0
Calspan Corporation,3.7,Software Engineer - 3 (JavaScript/Go/Python),"Annapolis Junction, MD",3d,$135K - $247K (Employer est.),191000.0,Senior,1.487598709689687,19100.0
Zoox,4.2,Co-Op: Software (Spring 2025),"Shippensburg, PA",11d,$83K - $136K (Glassdoor est.),109500.0,Mid Level,-0.3347495068817126,5475.0
"Garmin International, Inc.",3.8,"Associate Software Engineer, Edwards Air Force Base","Edwards AFB, CA",26d,$85K - $130K (Glassdoor est.),107500.0,Mid Level,-0.3794697085153666,5375.0
Root//Source,3.5,Software Engineer - Rider Support Tools,"Foster City, CA",30d+,$99.00 Per Hour (Employer est.),99.0,Junior,-2.780966896343402,4.95
"HireIO, Inc.",3.6,Senior Software Engineer - Aviation Databases,"Olathe, KS",30d,$73K - $88K (Employer est.),80500.0,Mid Level,-0.9831924305696953,4025.0
